,Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value,college,birthday,height,weight,position,class,nba_comp,pic,Glitch,strength,weakness
10,DeAndre Hunter,3.5,1.48,0.55,0.34,8.7,17.79,Virginia,12/1/1997,6-7,225,SF,Sophomore,Thaddeus Young,www.nbadraft.net/files/players/deandre-hunter-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg11.jpg?v=1560838180051,"Athletic forward with a versatile skill set ... Strong Body … Can play multiple positions on both ends of the floor … Possesses good length with a 7'2"" wingspan ... Plays very hard on both ends … His focus, energy and intensity on every play is impressive … He plays under control and really seems to understand his game … Plays to his strengths and rarely forces things or gets out of control … He shows good footwork and agility for his size … Above average athlete overall … Offensively, he is very versatile as he should be able to play both the SF and PF positions, at times, in the NBA … Some scouts have even mentioned the 2G at times, but that is probably a stretch … Excellent mid-range jump shooter … Can create some off the dribble … Plays under control and gets to his spots … Impressive 3pt shooter at 42% this season … shows range to 22’ … Scores well around the basket … good body control … Has a good feel for how to score at all three levels … Decent ball handler and passer for his size … He has a good feel for the game on this end … Defensively, he can guard multiple positions … He can switch 1-5 as well as anyone his size which fits right into today’s modern NBA game … He plays hard and gives great effort on this end … His length and commitment give him elite upside as a defender … Team oriented player, he puts winning over individual success and stats ... Has an excellent approach to the game mentally ... Shows leadership skills and the ability to be a good teammate ... All his numbers and percentages have improved while taking on a bigger role this year at Virginia … Beacame a mature and disciplined player with three years at Virginia ... ","There is not one clear thing that he does elite for the next level … He has offensive versatility but what go to move does he have for the NBA? ... Has never shown the ability to take over games offensively … He can shoot the NBA 3pt shot but he has limited attempts and he isn’t a shoot first type player … His ideal position is still a question mark … Not sure if his perimeter handle or passing will allow him to be a high-level SF … Also uncertainty about whether his size and physicality will allow him to be a high-level PF … He is considered a “versatile and possibly elite defender” by many scouts but his steal and block rate is very low for that projection … He looks mechanical at times … For his size, length and agility his rebounding numbers are shockingly low …He is an older Sophomore compared to most , turning 22 later this year …"
11,Dylan Windler,2.93,1.25,0.54,0.38,5.62,13.79,Belmont,9/22/1996,6-7,195,SG,Senior,Rasual Butler,www.nbadraft.net/files/players/dylan-windler-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg12.jpg?v=1560838179407,"Mid-Major lefty swingman, Dylan Windler, has drawn some serious buzz after putting up a monster senior season, and displaying the type of long range shooting NBA teams covet ... Windler's superb stroke was displayed in many different ways ... Dylan nailed 100 threes as a senior at 42.9% shooting on 7.1 attempts per contest ... This type of production isn't a new development in his game as he hit 42.9% his junior season, and 40% as a soph. He's great at coming off screens and floating the corners to get open shots ... Windler needs very little time to catch and setup for his shot, and his left handed release can sometimes catch defenders off guard ... Playing in a fast paced Belmont offense many of his 3's this season came in transition which will aid in his translation to the NBA landscape ... Additionally, at 6'7.5'' in shoes and sporting an 8'8.5'' standing reach, he's plenty tall to get his shot off in the league ... Windler is also an aggressive player, who not only hunts for his shot, but hustles for rebounds, and takes advantages of cutting opportunities to get shots at the rim ... His 10.8 rebounds per game is a very good level for a player who spends so much time around the perimeter, and his 1.9 offensive rebounds per contest lead to 23 second chance buckets ... Another plus regarding his rebounding is that he's really good at pushing the pace after collecting a miss on the defensive end ... As rebounding is one of the most translatable skills to the NBA, while Windler is not elite in terms of positional size and athletic ability, he measures out pretty well and project to at least be solid on the glass ... With a 6'10'' wingspan, a 2.94 second shuttle and a 37.5'' max vertical, Dylan tested really well when compared to his peers ... He's not really a slasher, but works off cuts well, and often finishes above the rim ... He shot a very good 74.5% at the rim last season(hoop-math.com) and converts free throws at an 84.7% clip ... A low mistake player, who only averaged 2.1 TO's per game despite being a focal point in Belmont's offense ... Very methodical, Dylan uses spacing well, and will likely benefit from the deeper NBA three point line ... ","Despite being surprisingly quick and athletic, Dylan really needs to work on his strength to make the leap to the next level ... At 195 pounds, he'll likely be effected by stronger players at his position, and will struggle to match up defensively ... He wasn't much of a shot blocker in college, and will likely not be a factor in contesting shots ... Windler will also turn 23 before his first NBA game, so he has a mature game while being pretty close to his prime ... His ceiling doesn't project to be that much higher than where he is now ... One on one perimeter scoring will be more difficult in the NBA, and he will likely have to rely more on running off screens, while a good ball handler, he's not exactly a break you down or blow past you type of presence on the wing ..."
12,Grant Williams,3.27,0.82,0.44,0.48,5.74,13.66,Tennesse,11/30/1998,6-7,240,PF,Junior,Mike Scott,www.nbadraft.net/files/players/grant-williams-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg13.jpg?v=1560838179668,"Solid finisher around the basket … Quality low-post scorer … Capable shooter … Great competitor with feel for the game ... Above-average facilitator/playmaker, especially from the post where he has great vision and makes the correct pass out of double-teams … Versatile defender where he can guard the post, but is also capable to switch onto a wing … 6'11 wingspan which allows him to out-rebound taller/more athletic players down low … Great mid-range and free throw shooter, has improved each year from the line. Also, capable of knocking down shots from beyond the arc (32.6%) … Capable shot blocker, averaged 1.3+ BPG during his three years at Tennessee … Very strong which allows him to finish through contact and carve out space in the paint … Where Williams lacks in athleticism and height, he makes up for it with strength, play-making ability, and motor … High motor, constantly hustles and demonstrates leadership on the court … High basketball IQ which leads to his above-average playmaking ability … Played with talented players during his tenure at Tennessee (Player: Admiral Schofield), (Player: Jordan Bone), and is capable in terms of sharing the basketball and the spotlight … Was the centerpiece during his time at Tennessee while winning back-to-back SEC Player of the Year Awards and was always a leader and set the example … Key to his game is versatility where he continues to show improvement in each area","Williams is an undersized forward at 6’7 which is small for a player who lacks in athleticism and makes most of his impact in the post … Not an explosive athlete, plays below the rim … Foul prone, fouled out of 4 games including two matchups against top talent in the country in Gonzaga and Kansas … Williams struggles to stay in front of quicker guards due to his lack of athleticism and height … While capable of hitting from beyond the arc, Williams digressed from his freshman year to junior year. Very capable from mid-range and the free throw line, but needs to continually improve from three if he plans to find a role as a small-ball four in the NBA … Hesitant to utilize jumper, typically makes impact in the post or opts to pass on open shot to get the ball into the block … Williams may struggle to create off the dribble considering we saw most of his offensive skill set in the post or catch-and-shoot opportunities on the perimeter."
13,Ignas Brazdeikis,1.18,-0.01,0.14,0.04,2.85,4.8,Michigan,1/8/1999,6-7,220,SF,Freshman,Kyle Singler,www.nbadraft.net/files/players/ignas-brazdeikis-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg14.jpg?v=1560838179472,"A natural scorer, very aggressive in finding ways to get points … Has elite touch on his drives … Good 3-point shooter (39.2%)... Has the NBA-coveted ability to create his own shot … Makes the most of his natural athletic gifts ... Led Michigan in scoring as a freshman at just under 15 ppg ... Will battle more athletic players and closes the talent gap with intangibles and heart ... Average quickness but possesses a surprising first step… Has a really good feel for the game… Should be a productive pick-and-roll guy at the next level … Uses his strong shoulders to absorb contact well, and finish off plays … Wide physical frame that will allow him to add 10-15 lbs of muscle early in his career … Competes at a high level on both ends of the court and on the glass … His fierce attitude will help cover for aspects of his game that he lacks physically ... Very solid and consistent demeanor and performer ... Over-achiever type ","The biggest question will be on the defensive end as he lacks ideal length and in particular foot speed … At 6’7 and not that much bigger of a wingspan (6’8) he won’t possess the quickness and length to stay in front of and check NBA small forwards, nor the length or physicality to match the power forwards… 8'5 standing reach is good for a shooting guard, but small at the 3 position ... His toughness will help him initially but over time he will have to figure out how to overcome his defensive deficiencies… Offensively, to become elite he’ll have to improve his vision and playmaking skills for his teammates, otherwise he’ll put himself in a situation where he may be valued only as a spot-up shooter ... A good but not great shooter, but could improve as time goes on considering his level of dedication ... Shot 77% from the free throw line, which is solid but if shooting is his forte, he'll need to raise that ... "
14,Isaiah Roby,2.35,0.46,0.39,0.49,3.69,9.86,Nebraska,2/3/1998,6-8,215,SF,Junior,Andre Roberson,www.nbadraft.net/files/players/isaiah-roby-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg15.jpg?v=1560838180203,"For the last three seasons at Nebraska, Isaiah Roby has established himself as a high level defender capable of guarding 1-5 at the collegiate level ... Standing 6'8'' tall and possessing a lean, athletic, 230 pound frame, Roby also sports a 7'3'' wingspan that allows him to play much larger than his listed 6'8'' height ... Isaiah has also displayed great lateral quickness, and great defensive instincts ... As a junior, he blocked 1.9 shots per game and also tallied 1.3 steals per contest ... That kind of defensive production also doesn't showcase his ability to hedge off pick and rolls, and switch defenders at a level that projects him to be a multi-position NBA defender ... Roby is also a high level athlete, who gets off the ground quickly and paired with his lateral quickness, also has very good end to end speed ... As a versatile NBA defender, he brings a lot to the table ... Roby also hauls in 6.9 rebounds per contest which is a pretty solid number due to the fact he's not always down low in the paint when shooting ... From an offensive standpoint, Roby is not a go to offensive option, but he has a solid feel for the game, and is an effective passer ... His 1.9 assists per game is a pretty good mark for a defensive minded forward, plus he has an above average handle for a forward, and is effective in transition due to the pairing of these two skills ... He also is an improving spot up shooter who possesses good mechanics, and is at least respectable out to the college three point line ... During his junior season, he knocked down 28 threes, which is almost one per contest ... Isaiah Roby's versatility as an offensive player gives him the ability to become a ""glue"" guy on offense, passing the ball, setting screens, pushing in transition, and knocking down open shots at the next level ...","Did not break out into the star some expected in his junior season, at least from a statistical standpoint ... While a good defensive player, and one who projects to carry these skills to the NBA, his scoring ability may limit his time on the court ... As a junior, Isaiah averaged 11.8 points per game overall on 45% shooting, but against NCAA tournament teams he saw this number dip to 10.9 points per game on just 41% shooting from the field ... He's still very much a work in progress when it comes to creating shots for himself, and he will need to improve significantly to be any sort of one on one threat in the NBA ... Roby also shot 33% from the college 3 point line, which was good enough to keep his defender from lagging off, but his range does not extent to the NBA three point line at this point in his development as well ... While blessed with great length and athletic ability, Roby only shot 59% at the rim (according to hoop-math.com) which is a sub-par number for a forward with his physical tools ... It's very possible it takes Isaiah the right team fit to see the floor for extended periods of time early in his career due to his offensive limitations."
15,Ja Morant,3.9,5.32,0.94,0.36,11.85,28.39,Murray State,8/10/1999,6-3,175,PG,Sophomore,DeAaron Fox,www.nbadraft.net/files/players/ja-morant-hd2_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg16.jpg?v=1560838179763,"Dynamic athlete and playmaker, adept at creating offense for himself as well as teammates ... Has ideal size for the lead guard position with a 6'3 frame and long arms ... Possesses high level passing ability, even for a point guard (as evidenced by his NCAA leading 9.3 apg) ... Shows great imagination to make creative passes, and seems to lead teammates into easy scores with his anticipation and vision ... Plays with an edge and shows excellent competitiveness and moxie ... Has a fearless style and is willing to put his body on the line and initiate contact in order to make plays ... A high level athlete for a point guard with elite speed and quickness, as well as explosive leaping ability ... Has great defensive upside with his long arms and great ability to move laterally ... Shows a lot of leadership and determination, developing a great rapport with teammates and natural leadership skills ... Very difficult to stay in front of as he puts a lot of pressure on opponents with his quickness off the dribble ... Incredibly slick and polished with the ball in his hands. His ball handling might be his most advanced skill right now as he goes behind his back and crosses over like the ball is on a string ... His ability to change directions and set up drives gives defenders fits ... While still an area of concern, the form on his shot actually shows solid promise ... Has shown the ability to hit deep three balls ... Has made a habit of rising to the occasion in big games, had 38 pts, 9 reb and 5 ast against Alabama and led a big 2nd half comeback against Auburn finishing with 25 pts, 8 reb and 7 ast ... Makes his teammates better ... Pushes the ball extremely well up the court ... Has a lot of shake and bake, juke moves to set up defenders for the blow by and finishes well around the rim ... Shooting efficiency should improve in time ... Good shooting motion, very solid release and follow through ... Plays with a swagger ... A solid defender who gets 1.8 steals per game and doesn’t gamble too often or reach and pick up unnecessary fouls ... Does a good job of getting to the line (7 times per game) and capitalizing ... Career 80% free throw shooter is indicative of quality shooting ability and gives him promise as a perimeter shooter ... Tremendous rebounder at 7 per game, following up a great freshman season (6.5 per) ... Has developed in his game management and ability to run the offense in a half court set, though this is an area he must improve upon ... Utilizes the finger roll well to finish off drives ... Very shifty. Can stop on a dime and has the ability to stop/start and change speeds at an elite level, making him extremely difficult to contain ... Precision passer. Really adept at making accurate lob passes for ally oops from all over the court ... Shows a great feel for the game, exhibiting the ability to dribble right through double teams and pressure, as he did in the Racer's late December match up with the top 10 rated Auburn Tigers ... Has a ton of upside left to develop and is very young for a sophomore, having turned 19 just a few months ago, in August ...","Developing the ability to consistently knock down the three point shot is one of the few hurdles left in his development ... The form on his shot looks decent, but the results haven't been there yet on a consistent basis ... Shot shows nice potential, even from behind the arch, but he needs to put in hours of work shooting both mid range and 3 point shots in order to develop the muscle memory and ability to hit shots in rhythm with consistency (currently shooting 30% from 3 on the year) ... Can get overly aggressive with passes at times ... Also forces the issue on drives and gets stripped or loses the ball, but for a player with his ability, learning through mistakes is the natural progression ... Must cut down on turnovers (4.9 per game) and learn to value the ball a little better ... Growing pains. He has such an immense amount of ability and is still figuring out how to utilize his physical gifts at the point guard position ... Needs to become more adept at facilitating the pick and roll ... Has a tendency to telegraph outside shots at times and get them blocked ... Body is very thin and will need to add some strength and muscle over the next few years in order to better finish drives and absorb contact, as well as not get bullied by the more physical guards at the next level ... Level of competition may cause some teams to be skeptical ... He has proven it against solid competition, performing exceptionably well against Auburn and Alabama as a sophomore, but some may question whether his prolific stats are more of a result of his lack of competition throughout much of his sophomore year ..."
16,Jalen McDaniels,2.58,0.56,0.37,0.21,3.93,9.6,San Diego State,1/31/1998,6-9,190,SF,Sophomore,Jake Layman,www.nbadraft.net/files/players/jalen-mcdaniels-hd.jpeg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg17.jpeg?v=1560838180446,"A lengthy combo forward player (6-9 with a 7-foot wingspan) … Great ball handling abilities, especially for his height (6’9’’) … Able to take most defenders off the dribble with an array of moves to get to the spot he wants … Possesses the length to score over shorter defenders with hook shots and floaters … Strong finishing abilities around the rim … Draws contact when he gets into the paint, converting his free throws at a high rate (78.8%) … In the post, he is patient with his back facing the basket, fully aware of where the defensive pressure is coming from … Knows when to pass the ball to an open teammate when he is double-teamed … Crashes the glass, averaged 8.3 rebounds per game as a sophomore at San Diego State … Plays with great energy on the offensive end … Uses his length to steal the ball from opponents …","Undisciplined defensively, often making careless fouls … Has a lot of upside on defense because of his overall size and wingspan, but his footwork is not where it needs to be … Tends to watch the ball bounce off the rim instead of finding a body to box out … Body has not shown the development it should have, raising some questions about his dedication and desire ... Weighing only 195 pounds, he will need to add more strength and muscle … Must improve his outside shot, especially from the three point arc where he converted just 32% of his attempts this season … Inconsistent. Immensely talented, but seems to have a tendency to underachieve ... "
17,Jarrett Culver,3.33,2.2,0.77,0.34,9.48,20.1,Texas Tech,2/20/1999,6-6,195,SG,Sophomore,Nick Anderson,www.nbadraft.net/files/players/jarrett-culver-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg18.jpg?v=1560838179584,"After playing a supportive role at Texas Tech as a freshman, Jarrett Culver has quickly shot up draft boards as a sophomore by displaying a great all around floor game ... At 6'6'' Culver displays the size to play both the two and three spots at the next level, and with solid athletic ability and length ... Offensively he's paced the Red Raiders all season with 18.5 points per game (which is 25.3% of TTU's offensive output) as well as acted as primary distributor and ball handler ... Throw in his 3.6 assists per game, and he's directly involved in over 35% of Texas Tech's scoring plays ... His all around offensive game makes him a multi-dimensional scorer as he has a fundamentally sound high arching shot in which he needs to be respected from beyond the arc, as well as being able to pull up from the mid-range ... Culver's footwork and hesitation moves on the perimeter are terrific as well, and will directly translate to the next level ... He's great at drawing his defenders off balance, and has a great array of moves once he gets in the lane ... Jarrett also displays a high basketball IQ, and the ability to make a play when his team needs one the most ... Playing in such a defensive oriented system in college, Culver has great defensive instincts, quick hands, and displays good effort ... He's an above average rebounder for a 6'6'' guard (6.3 rebounds per game) and off a defensive miss or a steal, he's a tough matchup in fast break situations due to his good passing ability ... He projects as a plus defender in the NBA.","Culver's weaknesses are mostly things that can be improved with continued growth as a player ... Right now his 3 point shot is worth keeping his defender honest at the college level, but he's going to need to continue to hit the gym to become a high level long range shooter in the NBA ... Can also stand to tighten his handle as he makes the leap to the next level ... He'll also need to continue to work on his body ... Culver's 195 pound frame will get pushed around by larger NBA two guards and small forwards, though he does have solid legs as a base ... He doesn't have the elite run/jump ability to make up for this at this point either ... At 6'6'' his height is good for a swingman being considered at the top of the draft, but not elite ... He just needs to continue to develop at the same pace he's done from his freshman to sophomore years ... Jarrett has a very NBA translatable offensive game, and a lot of his weaknesses can be improved upon in the gym."
18,Jaxson Hayes,5.44,0.67,0.64,0.95,8.88,21.16,Texas,5/23/2000,6-11,220,C,Freshman,Jarrett Allen,www.nbadraft.net/files/players/jaxson-hayes-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg19.jpg?v=1560838179879,"Blessed with tremendous size and length, Jaxson Hayes' physical tools are probably some of the most obvious traits that jump off the page when projecting him for the next level ... Standing 6'11'' and sporting a 7'4'' wingspan with massive hands and a frame that should easily be able to build from his current 220 pound weight ... Hayes also pairs this with fluid athleticism and end to end speed ... At Texas this length and athleticism allowed him to protect the rim at an elite level ... While only playing 23.3 minutes per contest, Jaxson blocked 2.2 shots per game (3.77 per 40 minutes) and altered a significant amount of potential shots, something that doesn't show up in the stat column ... These physical traits should translate to the next level and make him a legit NBA rim protector ... Hayes' mobility also allows him to hedge well during pick and roll defense, and not be limited to a lane clogger on the defensive end ... His defense is probably his calling card at this point in his development, but Hayes has offensive appeal as a rim runner/lob target as well as a player with a track record of finishing around the rim ... According to hoop-math.com, Hayes shot 86.7% on his shots around at the rim and 72.7% of his shots overall ... His massive hands also make him a high level lob target who can grab just about everything in his vicinity ... He's also a pretty solid offensive rebounder (1.8 orpg) and can be respectable collecting misses ... He certainly plays within his limits on offense, but a surprising 74% FT percentage and solid mechanics on his shot gives him some upside in the face up game ... Jaxson is also the son of an NFL tight end, and knows what kind of dedication it takes to be a professional athlete, which also bodes well for his development as a player ... ","While Hayes possesses a great frame, he'll need to continue to not only add muscle to ready himself for the next level, but also work on his toughness ... While flying though the air, and catching lobs using his finesse, he's quite comfortable, but more physical players got under his skin and he often faded in effectiveness when being bodied up on both offense and defense ... Gaining that edge may mean the difference of him being a serviceable NBA defender to one who excels ... Like many young big men, Hayes is also foul prone ... The game is still a little fast for him, and hopefully as he develops he'll be able to cut back on ticky tack fouls ... He's not a particularly good passer either, and only tallied 9 assists all season for the Longhorns ... Because he's likely far away both skill and body wise from being a NBA contributor, a team is taking the risk that he doesn't produce much offensively before his first contract is up ..."
19,Jaylen Hands,0.95,1.66,0.36,-0.01,3.19,7.88,UCLA,2/12/1999,6-3,180,PG,Sophomore,Brandon Jennings,www.nbadraft.net/files/players/jaylen-hands-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg20.jpg?v=1560838179557,"Flashy point with explosiveness and confidence ... A capable defender with decent size for the position ... Capable of rotating and fighting through screens ... Has the quickness to guard NBA point guards ... Can disrupt passing lanes and force turnovers (1.0 steals per game.) Doesn’t overreach ... Good rebounder for a lead guard. Not afraid to crash the offensive boards and absorb some contact ... Does a good job rebounding, especially on defense (3.4 defensive rebounds per game) ... Very good at pushing the ball in transition ... Uses his quickness effectively to shake defenders and get to the rim ... Good shooter with NBA range ... Has a fluid motion and a confident stroke ... Plays a fearless brand of basketball. Not afraid to take high pressure shots with a hand in his face (37.4% from 3-point range and 73.8% from the foul line) ... Very comfortable shooting off the dribble ... Can get hot and catch fire quickly ... ","While he has all the pieces to be a good defender, his alertness on defense could improve ... He sometimes has the tendency to lose his man at times ... Should look to get stronger in order to handle contact and finish drives, better utilize his leaping ability ... Ball handling is solid, but it needs to improve for the NBA level as he tends to get sloppy and careless ... Ball sometimes slips out of his hands when he is attacking the rim ... His handle needs to tighten and passing and decision making must improve (1.8 turnovers per game). His distributing and focus on getting teammates open looks needs to improve (2.6 assists per game) ... Sometimes he is a bit too eager to shoot before exploring all of his options ... Has a tendency to get tunnel vision sometimes ... Could stand to improve upon his floater in the lane ... "
20,Jaylen Hoard,1.67,0.15,0.14,0.12,2.79,5.8,Wake Forest,3/30/1999,6-8,215,SF,Freshman,Darius Miller,www.nbadraft.net/files/players/jaylen-hoard-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg21.jpg?v=1560838179689,"At 6’8”, has good size for a small forward prospect ... Possesses solid athleticism, which allows him to score on strong moves to the rim, even through contact ... Has a feel for the game and knows how to get to his spots on the court ... Is able to put defenders in tough positions, allowing him to draw fouls. Is able to get by defenders with a long, quick step off the catch, getting defenders on his hip and finishing over them ,,. Skilled at finding openings in the defense and does well playing off the drives of teammates ,,. Can score when posting up, although that likely won’t be his primary role at the next level unless he adds more strength and weight ... Is able to get up off the ground fairly quickly, is able to grab a rebound above the rim, come down, and elevate again for the put back with ease and quickness ... His long arms (7’1” wingspan) should help him to develop into a strong defender with time ... Plays a team oriented game and is able and willing to involve others ... His best skill, rebounding, typically translates well to the NBA ... Has solid natural body strength and would probably continue to add strength and muscle if he ends up staying in the US to play basketball ... ","Stuck in between positions ... Not the most fluid of athletes ... Not a great shooter from outside, making only 22.6% from three at Wake Forest ... Shoots a little worse from the free throw line (71%) than you’d like for a player whose game is predicated on getting to the hoop ... Shot is a little slow to get off, which will lead to more tightly contested looks at the next level ... Needs to improve his ability to create his own offense beyond post ups and driving off the catch ... Is turnover prone, will need to make better decisions with the ball moving forward ... Can sometimes be a non-factor for stretches ... Had nine games this season scoring 8 or fewer points ... Currently relies too much on his athleticism, will need to decide what type of player he wants to be offensively ... Needs to add bulk to his frame to withstand the punishment of a longer season. Also needs to become a much more efficient player moving forward ..."
21,Jaylen Nowell,1.18,1.01,0.36,0.04,3.76,7.87,Washington,7/9/1999,6-4,200,PG,Sophomore,Wade Baldwin IV,www.nbadraft.net/files/players/JaylenNowell_0.gif,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg22.gif?v=1560838180115,Combo guard with solid athleticism and ISO scoring ability ... Handles the ball well for a shooting guard; capable of bringing it up the floor like a point guard ... Knows how to move without the ball. Use screens to free himself up ... Pretty alert on defense ... Knows where to be ... Does a good job forcing turnovers (1.3 steals per game) ... Confident shooter (16.2 points per game on 44.0% from 3-point range) ... Capable of hitting tough shots ... Good shooting motion ... Very athletic ... Can throw it down easily and excels on the break ... Very dangerous in the open floor ... Knows how to get to the rim and finish ... Creative and crafty finisher ... Rebounds well for a guard ... Has a good nose for the ball ... Plays with a lot of energy ... Has a solid motor ...,"He’s undersized for a shooting guard at 6’4”, 200 pounds ... Will need to prove he can overcome his lack of size in the NBA ... His ability to make tough shots is a double edged sword ... Sometimes he’ll take shots that are a bit forced ... Needs to improve his shot selection ... Ball security needs to improve (2.9 turnovers per game) ... Averaged a modest 3.1 assists per game ... He would boost his stock if he could become a better facilitator and play some point guard ... Free throw shooting is good, but he regressed from his freshman year (80.0%) to sophomore year (77.9%) ... It would be nice if he could get back in the 80% territory ..."
22,Jontay Porter,1.66,0.27,0.26,0.38,2.75,7.08,Missouri,11/15/1999,6-11,210,PF,Sophomore,N/A,www.nbadraft.net/files/players/jontay-porter-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg23.jpg?v=1560838180417,"Strong/solid build … Can surprise defenders with his athleticism … Good length … Soft hands … Great feel for the game/IQ … Fluid in his movements … Displays great overall footwork and coordination on both ends … Light on his feet … Versatile on the offensive end of the floor … Explosive, especially when attacking the rim … Quick leaper … Nice handle for a big man … Can play above the rim effortlessly … Plays inside and outside … Knows how to score … Has great hands, allowing him to finishing efficiently around the basket … Does a good jump using pump fakes around the basket to finish around the rim … Likes to go to floaters and hooks in mid-range spots … A threat to all three levels of the defense … Takes advantages of switches in the post … Diverse offensive skillset … Skilled with the ball … Can makes plays off the dribble … Looks confident attacking closeouts … Can handle the ball effectively in transition … Crafty passer … Makes good reads/solid court vision … Moves the ball quickly … Adept at drawing defenses and passing the ball to open teammates … Great at kicking out to open teammates after being double-teamed in the post … Nice shooting stroke/good range … Floor spacer, as he can knock down 3-pointers (40/110 on the year, 36%)… Quick, compact ""effortless"" release … Can shoot in pick-and-pop or spot-up situations … Hits his free throws at an efficient rate … Can turn into a good pick-and-pop player … Good screen setter … Looks to get his teammates open with screens … Has the potential to be a force in the paint with added muscle … Stout defender … Makes good use of his size and strength to gain position … Has no problem bodying-up the player he’s guarding … Defends well in space … Makes things difficult for the offensive player … Has shot blocking ability (1.7 per game in 24.5 mpg) … Capable of defending at the basket with great timing and anticipation ... Smart help defender … Knows how to give weak side support … Consistently in the position to make backline rotations … Good/active rebounder … Looks to be a plus rebounder … Excels on put backs … Mature player … Poised … Possesses a 7-foot wingspan, which while not stand out should give him adequate size for the center position ...","Somewhat unproven compared to other prospects who ""proved it"" for a longer period of time and with more consistency ... Had a very solid end to the season but some wonder whether he's capable of playing at a high level with competitiveness night in and night out, as he excelled in spurts ... Not a high level run/jump athlete ... Lacks vertical pop and burst … Adding muscle/physical improvement will help him reach his full potential as a player … As of now, he does not have the strength of a typical NBA center … Isn’t physical … Inconsistent in games … Good offensive player but he’s not elite in any particular area … Needs to continue to add consistency to his perimeter game … Post game should develop over time, but is not currently a strength ... Must improve his low post game, becoming more adept at sealing opponents and utilizing drop steps and pump fakes … There’s questions about his ability to create and finish against NBA quickness/athleticism ... Streaky shooter… Has lapses on the defensive end … Needs to work on lateral quickness … Stuck in between positions defensively, being too slow for a four and too small for the five at the NBA level … Could be a matchup dependent player…Turnover and foul prone … Gets caught trying to do too much with the ball …"
23,Jordan Bone,1.23,1.74,0.32,0.02,3.84,8.93,Tennesse,11/5/1997,6-3,180,PG,Junior,Monte Morris,www.nbadraft.net/files/players/jordan-bone-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg24.jpg?v=1560838180229," Elite athleticism, can run and jump with the best pros ... 42.5-inch max vertical jump ... Very quick player… Fastest lane agility, shuttle run and 3/4 court run at the NBA Draft Combine ... Decent 3-point shooter, 35.3% in three seasons ... After getting 32.9 minutes this season, showed he can pass the rock with 5.8 assists per game ... Showed improved scoring ability his junior season with 13.5 points per game ... Good body control in the air ... Decent finisher ... Good free throw shooter at 81.7% on the career (83.5% last season)… Has good shot selection and knows where his teammates are on the court ... Works hard on defense ... Has decent size at 6’3… Unselfish player, distributes to his teammates fairly well… Had a near 3/1 a/to ratio at 5.8 ast to 2 to ... Can bring lots of energy to a team with his speed and quickness ... Has good shooting touch from many places on the floor ...","Will need to get stronger to fully utilize his athleticism at the next level ... Could control his speed better in transition ... Streaky shooter, needs to prove he can be consistent from NBA range ... Looks great in workouts with his athleticism, but not sure if this translates to the court every game ... May not be strong enough to scrap with NBA point guards ... Will have difficulties switching onto bigger, stronger players off of screens ... Though he was the point guard, did not run the Tennessee offense with Admiral Schofield and Grant Williams on the floor ... Was not a consistent scorer, but also was not the team’s top scoring option ... Despite his 6'3 (in shoes) height, does not have a great deal of length with just a 6'3.25 wingspan and 7'11 standing reach ... Will turn 22 in November, making him older for a junior ... "
